last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Seager, Kyle,572122,SEA,FF,4-Seamer,-1.1,-4,345,35.8,109,0.184,0.414,0.314,10.4,6.4,8,0.257,0.555,0.398,47.6
Story, Trevor,596115,COL,FF,4-Seamer,-0.4,-1,405,39.1,105,0.264,0.418,0.356,22.7,26.7,24.3,0.24,0.368,0.318,44.4
Biggio, Cavan,624415,TOR,FF,4-Seamer,-0.4,-2,442,39.7,102,0.157,0.337,0.298,17.5,25.5,22.6,0.145,0.289,0.277,29.8
Crawford, J.P.,641487,SEA,FF,4-Seamer,-0.1,0,398,42.6,101,0.28,0.354,0.36,10.3,9.9,9.3,0.306,0.417,0.379,19.2
Betts, Mookie,605141,LAD,FF,4-Seamer,2.3,8,337,36.2,99,0.31,0.609,0.444,6.3,12.1,12.4,0.309,0.57,0.409,53.3
Bellinger, Cody,641355,LAD,FF,4-Seamer,0.1,0,375,38.8,98,0.25,0.398,0.321,26,17.3,16.5,0.284,0.473,0.361,43.7
Canha, Mark,592192,OAK,FF,4-Seamer,0.2,1,354,33.3,95,0.274,0.521,0.412,22.6,20,16.4,0.26,0.481,0.394,47.3
Hernandez, Cesar,514917,CLE,FF,4-Seamer,0,0,412,38.3,94,0.272,0.407,0.345,10.4,16,14.6,0.27,0.358,0.328,31.3
Olson, Matt,621566,OAK,FF,4-Seamer,0.5,2,387,38.6,94,0.184,0.421,0.357,43.4,33,30.7,0.224,0.407,0.349,44.4
Blackmon, Charlie,453568,COL,FF,4-Seamer,1,4,373,41.2,94,0.353,0.529,0.399,18.1,18.1,17.9,0.291,0.495,0.361,36.6
Nimmo, Brandon,607043,NYM,FF,4-Seamer,1.6,7,418,42.7,92,0.288,0.575,0.432,21.5,23.9,17.5,0.248,0.439,0.376,39.2
Ramírez, José,608070,CLE,FF,4-Seamer,1.8,6,354,30.9,92,0.267,0.68,0.44,15.7,16.3,12.7,0.248,0.603,0.406,45.9
Bradley Jr., Jackie,598265,BOS,FF,4-Seamer,4.5,14,317,37.9,92,0.44,0.68,0.522,20.1,10.9,13.7,0.337,0.545,0.436,53.8
McCutchen, Andrew,457705,PHI,FF,4-Seamer,1.3,4,294,30.2,91,0.309,0.593,0.416,16.1,16.5,20.3,0.318,0.638,0.431,54.5
Calhoun, Kole,594777,ARI,FF,4-Seamer,-1.2,-4,353,39.2,90,0.179,0.397,0.297,26.1,15.6,15.9,0.27,0.436,0.339,34.8
Candelario, Jeimer,600869,DET,FF,4-Seamer,3.7,11,306,36.3,89,0.368,0.553,0.452,22.2,15.7,14,0.295,0.501,0.39,45.2
Muncy, Max,571970,LAD,FF,4-Seamer,1.7,6,373,33.9,89,0.229,0.671,0.439,17.3,22.5,19,0.283,0.743,0.479,54
Lindor, Francisco,596019,CLE,FF,4-Seamer,-0.1,0,368,32.9,87,0.256,0.487,0.339,16.6,16.1,11.7,0.288,0.509,0.365,43.9
Suárez, Eugenio,553993,CIN,FF,4-Seamer,1.2,4,358,35.8,87,0.211,0.535,0.38,25,25.3,20.4,0.224,0.526,0.381,46.9
Votto, Joey,458015,CIN,FF,4-Seamer,0.7,2,315,34.1,86,0.229,0.614,0.412,23.6,20.9,20.9,0.25,0.554,0.4,46.2
Semien, Marcus,543760,OAK,FF,4-Seamer,-0.9,-3,322,32.7,86,0.25,0.395,0.347,20.5,17.4,16.1,0.253,0.438,0.339,39.3
Merrifield, Whit,593160,KC,FF,4-Seamer,1.3,4,336,33.7,86,0.364,0.571,0.436,10.1,4.7,5,0.38,0.56,0.424,35.1
Yastrzemski, Mike,573262,SF,FF,4-Seamer,1.8,7,401,42.7,86,0.269,0.582,0.452,23.6,19.8,16,0.212,0.461,0.373,46
Lewis, Kyle,641786,SEA,FF,4-Seamer,0.6,2,361,36.8,86,0.224,0.507,0.376,34.5,30.2,27.1,0.238,0.522,0.396,46.5
Tatis Jr., Fernando,665487,SD,FF,4-Seamer,1.8,6,321,32.5,85,0.274,0.521,0.379,23.8,27.1,25,0.283,0.543,0.398,68.6
Flores, Wilmer,527038,SF,FF,4-Seamer,0.9,3,325,36.4,85,0.321,0.641,0.421,15.3,15.3,12.4,0.285,0.568,0.375,36.4
Reddick, Josh,502210,HOU,FF,4-Seamer,0,0,318,38,84,0.233,0.37,0.317,17.9,23.8,21.1,0.232,0.338,0.304,34
Gregorius, Didi,544369,PHI,FF,4-Seamer,-1.1,-4,322,35.7,84,0.234,0.39,0.298,17.5,13.1,9.4,0.231,0.344,0.281,31.3
Trout, Mike,545361,LAA,FF,4-Seamer,1.7,7,405,39.6,83,0.299,0.567,0.425,12.3,18.1,11.1,0.28,0.587,0.43,55.6
Mondesi, Adalberto,609275,KC,FF,4-Seamer,-1.2,-3,284,33.5,83,0.224,0.447,0.33,36.4,27.7,28.7,0.225,0.442,0.307,50.9
White, Evan,657108,SEA,FF,4-Seamer,-1.1,-4,332,40.1,83,0.205,0.411,0.313,31.6,38.6,33,0.213,0.427,0.321,63.4
Bogaerts, Xander,593428,BOS,FF,4-Seamer,2.7,8,308,31.9,82,0.394,0.732,0.499,16.4,12.2,11.9,0.344,0.66,0.451,45.2
Happ, Ian,664023,CHC,FF,4-Seamer,-0.7,-2,336,35.7,82,0.232,0.449,0.352,31.7,25.6,23.1,0.237,0.452,0.354,50
Machado, Manny,592518,SD,FF,4-Seamer,1.4,5,339,36.2,82,0.296,0.676,0.418,14.4,11,11.1,0.357,0.731,0.474,53.8
Belt, Brandon,474832,SF,FF,4-Seamer,2.3,7,310,45.2,82,0.333,0.635,0.476,19.2,15.9,15.5,0.28,0.642,0.455,48
Escobar, Eduardo,500871,ARI,FF,4-Seamer,-2.6,-9,353,43.5,82,0.154,0.269,0.205,18.3,13.4,11.2,0.301,0.519,0.365,35.8
Walker, Christian,572233,ARI,FF,4-Seamer,-2.3,-8,356,37,82,0.211,0.237,0.235,25.8,24.4,18,0.221,0.325,0.267,51.8
Grandal, Yasmani,518735,CWS,FF,4-Seamer,1.7,5,296,34.4,81,0.297,0.703,0.467,24.5,23.5,28.4,0.252,0.577,0.417,43.5
Peralta, David,444482,ARI,FF,4-Seamer,1.8,5,299,36.4,81,0.362,0.478,0.408,13.8,14.8,15.6,0.302,0.449,0.375,37.9
Arenado, Nolan,571448,COL,FF,4-Seamer,-0.7,-2,263,38.5,81,0.303,0.553,0.386,9.6,4.9,7.7,0.259,0.449,0.315,34.2
Schwarber, Kyle,656941,CHC,FF,4-Seamer,-0.7,-2,340,35.6,80,0.206,0.476,0.384,25.2,26.3,22.6,0.221,0.467,0.374,61.9
Grossman, Robbie,543257,OAK,FF,4-Seamer,1.2,4,310,41.3,80,0.269,0.612,0.432,8.3,12.5,12.8,0.292,0.552,0.411,40.4
Turner, Trea,607208,WSH,FF,4-Seamer,0.7,2,333,32.2,80,0.286,0.529,0.4,13.3,16.3,14.4,0.303,0.522,0.392,52.6
Tucker, Kyle,663656,HOU,FF,4-Seamer,5.6,14,258,29.9,80,0.361,0.75,0.511,12.5,8.8,9.7,0.309,0.605,0.414,50.8
Guerrero Jr., Vladimir,665489,TOR,FF,4-Seamer,-0.1,0,297,32.7,79,0.254,0.465,0.356,14.9,10.1,10.3,0.29,0.549,0.387,58.7
Altuve, Jose,514888,HOU,FF,4-Seamer,-1.4,-3,223,29.3,79,0.208,0.375,0.299,8.8,11.4,14.1,0.251,0.428,0.324,34.9
Freeman, Freddie,518692,ATL,FF,4-Seamer,6.6,19,292,28.6,79,0.471,0.941,0.62,12.2,5.1,5.6,0.45,0.914,0.587,62.5
Frazier, Adam,624428,PIT,FF,4-Seamer,2,6,323,36.5,78,0.286,0.524,0.42,14.9,12.8,11,0.282,0.49,0.396,33.3
Bell, Josh,605137,PIT,FF,4-Seamer,0.7,2,279,32.6,78,0.265,0.5,0.366,33.1,28.2,29.7,0.28,0.546,0.379,50
Davis, J.D.,605204,NYM,FF,4-Seamer,0.8,3,356,37.4,78,0.295,0.541,0.439,30.9,23.1,15.9,0.302,0.529,0.435,48.8
Wong, Kolten,543939,STL,FF,4-Seamer,-1.4,-5,326,38.4,78,0.284,0.358,0.327,9,11.5,10.3,0.25,0.336,0.304,26.7
Santana, Carlos,467793,CLE,FF,4-Seamer,1.3,4,324,28.9,78,0.286,0.508,0.408,17.1,12.8,11.9,0.269,0.526,0.404,41.5
Hampson, Garrett,641658,COL,FF,4-Seamer,0.5,2,339,43.9,78,0.288,0.561,0.402,21.5,26.9,22.6,0.258,0.532,0.378,36.2
Aguilar, Jesús,542583,MIA,FF,4-Seamer,2.2,7,333,37.8,77,0.371,0.742,0.507,13.8,11.7,10.7,0.307,0.654,0.438,45.5
Franco, Maikel,596748,KC,FF,4-Seamer,1.1,3,263,27.9,77,0.3,0.514,0.394,5.8,7.8,8.2,0.258,0.44,0.334,43.1
Hiura, Keston,669374,MIL,FF,4-Seamer,2.3,8,342,34.5,77,0.235,0.588,0.386,46,40.3,29.2,0.249,0.656,0.407,63.2
Harper, Bryce,547180,PHI,FF,4-Seamer,2.6,8,327,33.6,77,0.293,0.793,0.508,26.7,19.5,14.4,0.327,0.866,0.54,69.8
Contreras, Willson,575929,CHC,FF,4-Seamer,1,3,303,34.8,77,0.242,0.387,0.347,23.4,19.5,15.6,0.279,0.481,0.383,53.1
Profar, Jurickson,595777,SD,FF,4-Seamer,0,0,317,37.9,77,0.299,0.463,0.375,11.4,10.4,7.9,0.308,0.442,0.357,29.5
Gurriel, Yuli,493329,HOU,FF,4-Seamer,-1.2,-3,278,35.2,76,0.232,0.42,0.33,15.2,15.8,16.2,0.271,0.443,0.337,34.5
Pillar, Kevin,607680,COL,FF,4-Seamer,2,5,274,33.1,76,0.324,0.529,0.4,18.2,17.1,15.7,0.307,0.537,0.394,43.6
Springer, George,543807,HOU,FF,4-Seamer,2,6,285,34.7,76,0.295,0.738,0.484,21.5,11.8,12.7,0.332,0.743,0.487,52.8
Moncada, Yoán,660162,CWS,FF,4-Seamer,2.7,9,315,32.1,75,0.317,0.683,0.465,18.8,24,18.6,0.263,0.485,0.384,32.6
Seager, Corey,608369,LAD,FF,4-Seamer,0.9,2,267,33.1,75,0.343,0.687,0.462,16.2,9.3,9.6,0.348,0.764,0.487,61.7
Marte, Ketel,606466,ARI,FF,4-Seamer,0.8,2,265,38.1,75,0.338,0.521,0.393,8.5,9.3,11.7,0.265,0.398,0.297,51.5
Yelich, Christian,592885,MIL,FF,4-Seamer,2.4,8,352,32,75,0.321,0.714,0.5,26.7,22.7,21.8,0.32,0.69,0.49,66.7
Cabrera, Miguel,408234,DET,FF,4-Seamer,2,6,311,34.2,75,0.313,0.547,0.406,24.1,18.7,14.1,0.349,0.64,0.449,51
